2026-02-07 22:04:04,359 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+Final+Fantasy+VII+wallpaper+2560x1440+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com+-site%3Acdn.donmai.us+-site%3Adonmai.us+-site%3Atulip.paheal.net+-site%3Alotus.paheal.net+-site%3Arule34.xxx+-site%3Aus.rule34.xxx 200
2026-02-07 22:04:04,759 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+Final+Fantasy+VII+wallpaper+2560x1440+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com+-site%3Acdn.donmai.us+-site%3Adonmai.us+-site%3Atulip.paheal.net+-site%3Alotus.paheal.net+-site%3Arule34.xxx+-site%3Aus.rule34.xxx&l=us-en&vqd=4-89532677846106218454534603931544870474&p=-1 200
2026-02-07 22:04:04,791 | INFO | tifa_archivist.search | image search category=Tifa lockheart wallpaper 2560 × 1440 query=Tifa Lockhart Final Fantasy VII wallpaper 2560x1440 -site:rare-gallery.com -site:wallpapersden.com -site:images.wallpapersden.com -site:cdn.donmai.us -site:donmai.us -site:tulip.paheal.net -site:lotus.paheal.net -site:rule34.xxx -site:us.rule34.xxx results=80 source=ddg
2026-02-07 22:04:05,045 | INFO | tifa_archivist.orchestrator | discarded low quality url=https://images.hdqwalls.com/download/tifa-lockhart-final-fantasy-cn-2560x1440.jpg luma_stddev=8.20 sat_stddev=5.32 sat_mean=0.46 colorfulness=2.78 flat_ratio=0.88 lap_var=158.55 edge_density=0.0125 entropy=0.27 reason=truncated_low_quality
2026-02-07 22:04:05,082 | INFO | tifa_archivist.orchestrator | discarded low quality url=https://w.wallhaven.cc/full/we/wallhaven-wep5pq.png luma_stddev=4.66 sat_stddev=23.66 sat_mean=3.72 colorfulness=3.16 flat_ratio=0.89 lap_var=23.89 edge_density=0.0027 entropy=0.33 reason=truncated_low_quality
2026-02-07 22:04:05,139 | INFO | tifa_archivist.orchestrator | discarded low quality url=https://images2.alphacoders.com/239/239090.jpg luma_stddev=18.93 sat_stddev=11.38 sat_mean=2.48 colorfulness=5.11 flat_ratio=0.88 lap_var=100.69 edge_density=0.0132 entropy=0.80 reason=truncated_low_quality
2026-02-07 22:04:05,459 | INFO | tifa_archivist.orchestrator | discarded low quality url=https://static.zerochan.net/Tifa.Lockhart.full.3507428.jpg luma_stddev=33.23 sat_stddev=36.91 sat_mean=16.10 colorfulness=25.55 flat_ratio=0.75 lap_var=100.24 edge_density=0.0199 entropy=2.58 reason=truncated_low_quality
2026-02-07 22:04:05,605 | INFO | tifa_archivist.orchestrator | discarded low quality url=https://wallpapercave.com/wp/wp5462927.jpg luma_stddev=30.56 sat_stddev=39.09 sat_mean=16.25 colorfulness=19.80 flat_ratio=0.75 lap_var=169.71 edge_density=0.0176 entropy=1.85 reason=truncated_low_quality
2026-02-07 22:04:05,652 | INFO | tifa_archivist.orchestrator | discarded low quality url=https://wallpaperaccess.com/full/2024093.jpg luma_stddev=36.09 sat_stddev=38.21 sat_mean=21.94 colorfulness=26.00 flat_ratio=0.62 lap_var=152.98 edge_density=0.0367 entropy=3.70 reason=truncated_low_quality
2026-02-07 22:04:05,804 | INFO | tifa_archivist.orchestrator | discarded low quality url=https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/9a02fc51-eb64-4034-aba7-d3bcee8913d0/dgerkfp-c9b3071b-3aa9-436f-b7fa-dc81caac2fbd.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcLzlhMDJmYzUxLWViNjQtNDAzNC1hYmE3LWQzYmNlZTg5MTNkMFwvZGdlcmtmcC1jOWIzMDcxYi0zYWE5LTQzNmYtYjdmYS1kYzgxY2FhYzJmYmQuanBnIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.CAnZbdmfBnn2B1NzErxXlvHFD3mTq1X6e4AQFjM-UPA luma_stddev=30.38 sat_stddev=3.01 sat_mean=0.11 colorfulness=0.64 flat_ratio=0.88 lap_var=160.71 edge_density=0.0097 entropy=0.41 reason=truncated_low_quality
2026-02-07 22:04:05,847 | INFO | tifa_archivist.orchestrator | discarded low quality url=https://wallpapercave.com/wp/EgYF0qD.jpg luma_stddev=40.20 sat_stddev=33.67 sat_mean=22.76 colorfulness=11.55 flat_ratio=0.68 lap_var=236.81 edge_density=0.0293 entropy=3.28 reason=truncated_low_quality
2026-02-07 22:04:05,952 | INFO | tifa_archivist.orchestrator | discarded low quality url=https://images6.alphacoders.com/111/1112619.jpg luma_stddev=1.57 sat_stddev=2.08 sat_mean=0.09 colorfulness=1.03 flat_ratio=0.95 lap_var=14.71 edge_density=0.0020 entropy=0.07 reason=truncated_low_quality
2026-02-07 22:04:06,214 | INFO | tifa_archivist.orchestrator | discarded low quality url=https://static.zerochan.net/Tifa.Lockhart.full.3507427.jpg luma_stddev=43.91 sat_stddev=48.91 sat_mean=23.30 colorfulness=7.79 flat_ratio=0.83 lap_var=171.75 edge_density=0.0149 entropy=1.43 reason=truncated_low_quality
2026-02-07 22:04:06,266 | INFO | tifa_archivist.orchestrator | discarded low quality url=https://getwallpapers.com/wallpaper/full/b/7/5/513397.jpg luma_stddev=29.83 sat_stddev=27.02 sat_mean=10.59 colorfulness=14.88 flat_ratio=0.75 lap_var=187.98 edge_density=0.0407 entropy=2.08 reason=truncated_low_quality
2026-02-07 22:04:06,390 | INFO | tifa_archivist.orchestrator | discarded low quality url=https://images.alphacoders.com/102/thumb-1920-1024801.jpg luma_stddev=21.65 sat_stddev=13.79 sat_mean=2.89 colorfulness=3.20 flat_ratio=0.89 lap_var=144.57 edge_density=0.0126 entropy=0.79 reason=truncated_low_quality
2026-02-07 22:04:06,473 | INFO | tifa_archivist.orchestrator | discarded low quality url=https://static.zerochan.net/Tifa.Lockhart.full.4002786.jpg luma_stddev=68.22 sat_stddev=40.83 sat_mean=23.32 colorfulness=22.99 flat_ratio=0.47 lap_var=1025.00 edge_density=0.1168 entropy=4.21 reason=truncated_low_quality
2026-02-07 22:04:06,532 | INFO | tifa_archivist.orchestrator | discarded low quality url=https://static.zerochan.net/Tifa.Lockhart.full.4367989.jpg luma_stddev=11.13 sat_stddev=11.44 sat_mean=1.38 colorfulness=3.64 flat_ratio=0.88 lap_var=76.18 edge_density=0.0087 entropy=0.29 reason=truncated_low_quality
2026-02-07 22:04:06,592 | INFO | tifa_archivist.orchestrator | discarded low quality url=https://cdn.staticneo.com/ew/6/6e/FFVII_Rebirth_Tifa.png luma_stddev=27.46 sat_stddev=15.69 sat_mean=96.35 colorfulness=36.55 flat_ratio=0.73 lap_var=843.38 edge_density=0.0401 entropy=1.36 reason=truncated_low_quality
2026-02-07 22:04:06,663 | INFO | tifa_archivist.orchestrator | discarded low quality url=https://www.hdwallpapers.in/download/aerith_gainsborough_and_tifa_lockhart_ff_remake_4k_hd_final_fantasy_vii-3840x2160.jpg luma_stddev=4.65 sat_stddev=18.00 sat_mean=2.24 colorfulness=11.27 flat_ratio=0.88 lap_var=55.68 edge_density=0.0069 entropy=0.26 reason=truncated_low_quality
2026-02-07 22:04:06,744 | INFO | tifa_archivist.orchestrator | discarded low quality url=https://images.hdqwalls.com/wallpapers/tifa-lockhart-in-final-fantasy-vii-artwork-3d.jpg luma_stddev=8.79 sat_stddev=16.86 sat_mean=2.63 colorfulness=8.27 flat_ratio=0.88 lap_var=63.16 edge_density=0.0082 entropy=0.40 reason=truncated_low_quality
2026-02-07 22:04:06,865 | INFO | tifa_archivist.orchestrator | discarded low quality url=http://getwallpapers.com/wallpaper/full/b/f/b/975947-large-final-fantasy-7-tifa-wallpaper-1920x1080.jpg luma_stddev=33.18 sat_stddev=12.98 sat_mean=2.75 colorfulness=5.39 flat_ratio=0.88 lap_var=284.05 edge_density=0.0228 entropy=1.12 reason=truncated_low_quality
2026-02-07 22:04:07,638 | INFO | tifa_archivist.orchestrator | discarded low quality url=https://catwithmonocle.com/wp-content/uploads/2019/12/ff7r-art-tifa-1920x1200-1.jpg luma_stddev=13.03 sat_stddev=47.88 sat_mean=10.85 colorfulness=33.75 flat_ratio=0.88 lap_var=72.27 edge_density=0.0089 entropy=0.65 reason=truncated_low_quality
2026-02-07 22:04:08,287 | WARNING | tifa_archivist.download | download failed url=https://images.hdqwalls.com/wallpapers/tifa-lockhart-final-fantasy-7-remake-4k-cu.jpg error=image too small
2026-02-07 22:04:09,585 | INFO | tifa_archivist.orchestrator | discarded low quality url=https://wallpapercave.com/wp/wp5965634.jpg luma_stddev=17.70 sat_stddev=0.00 sat_mean=0.00 colorfulness=0.00 flat_ratio=0.88 lap_var=294.29 edge_density=0.0151 entropy=0.29 reason=truncated_low_quality
